#TH	FDR	1-NPV
0.948   0.044   0.389
0.949   0.043   0.391
0.950   0.043   0.392
0.951   0.043   0.394
0.952   0.043   0.397
0.953   0.042   0.398
0.954   0.042   0.400
0.955   0.041   0.402
0.956   0.040   0.404
0.957   0.040   0.406
0.958   0.039   0.409
0.959   0.038   0.410
0.960   0.038   0.412
0.961   0.038   0.414
0.962   0.037   0.416
0.963   0.037   0.419
0.964   0.037   0.421
0.965   0.036   0.423
0.966   0.035   0.426
0.967   0.034   0.428
0.968   0.034   0.430
0.969   0.034   0.432
0.970   0.033   0.435
0.971   0.033   0.437
0.972   0.032   0.440
0.973   0.032   0.442
0.974   0.031   0.445
0.975   0.030   0.447
0.976   0.030   0.450
0.977   0.029   0.453
0.978   0.028   0.455
0.979   0.028   0.458
0.980   0.028   0.460
0.981   0.027   0.463
0.982   0.025   0.466
0.983   0.025   0.469
0.984   0.025   0.471
0.985   0.024   0.474
0.986   0.024   0.476
0.987   0.024   0.479
0.988   0.024   0.481
0.989   0.022   0.484
0.990   0.019   0.486
0.991   0.019   0.488
0.992   0.014   0.490
0.993   0.010   0.493
0.994   0.011   0.495
0.995   0.008   0.496
0.996   0.011   0.498
0.997   0.013   0.499
0.998   0.000   0.500
0.999   0.000   0.500
1.000   0.000   0.500
